"Any";"Trimestre";"Nom_Districte";"Nom_Barri";"Preu";"Compravendes";"compra_venta";"lloguers"
2014;1;"Ciutat Vella";"el Raval";589,55;"Habitatge usat";92;356
2014;1;"Ciutat Vella";"el Raval";589,55;"Habitatge nou lliure";0;356
2014;1;"Ciutat Vella";"el Raval";589,55;"Habitatge nou protegit";0;356
2014;1;"Ciutat Vella";"el Raval";10,76;"Habitatge usat";92;356
2014;1;"Ciutat Vella";"el Raval";10,76;"Habitatge nou lliure";0;356
2014;1;"Ciutat Vella";"el Raval";10,76;"Habitatge nou protegit";0;356
2014;1;"Ciutat Vella";"el Barri Gòtic";712,79;"Habitatge nou protegit";0;135
2014;1;"Ciutat Vella";"el Barri Gòtic";712,79;"Habitatge usat";43;135
2014;1;"Ciutat Vella";"el Barri Gòtic";712,79;"Habitatge nou lliure";7;135
2014;1;"Ciutat Vella";"el Barri Gòtic";10,58;"Habitatge nou protegit";0;135
2014;1;"Ciutat Vella";"el Barri Gòtic";10,58;"Habitatge usat";43;135
2014;1;"Ciutat Vella";"el Barri Gòtic";10,58;"Habitatge nou lliure";7;135
2014;1;"Ciutat Vella";"la Barceloneta";14,4;"Habitatge nou protegit";0;130
2014;1;"Ciutat Vella";"la Barceloneta";14,4;"Habitatge usat";28;130
2014;1;"Ciutat Vella";"la Barceloneta";14,4;"Habitatge nou lliure";31;130
2014;1;"Ciutat Vella";"la Barceloneta";540,71;"Habitatge nou protegit";0;130
2014;1;"Ciutat Vella";"la Barceloneta";540,71;"Habitatge usat";28;130
2014;1;"Ciutat Vella";"la Barceloneta";540,71;"Habitatge nou lliure";31;130
2014;1;"Ciutat Vella";"Sant Pere, Santa Caterina i la Ribera";11,01;"Habitatge usat";53;196
2014;1;"Ciutat Vella";"Sant Pere, Santa Caterina i la Ribera";11,01;"Habitatge nou lliure";8;196
2014;1;"Ciutat Vella";"Sant Pere, Santa Caterina i la Ribera";11,01;"Habitatge nou protegit";0;196
2014;1;"Ciutat Vella";"Sant Pere, Santa Caterina i la Ribera";673,44;"Habitatge usat";53;196
2014;1;"Ciutat Vella";"Sant Pere, Santa Caterina i la Ribera";673,44;"Habitatge nou lliure";8;196
2014;1;"Ciutat Vella";"Sant Pere, Santa Caterina i la Ribera";673,44;"Habitatge nou protegit";0;196
2014;1;"Sant Martí";"el Camp de l'Arpa del Clot";9,96;"Habitatge usat";78;245
2014;1;"Sant Martí";"el Camp de l'Arpa del Clot";9,96;"Habitatge nou lliure";2;245
2014;1;"Sant Martí";"el Camp de l'Arpa del Clot";9,96;"Habitatge nou protegit";0;245
2014;1;"Sant Martí";"el Camp de l'Arpa del Clot";580,09;"Habitatge usat";78;245
2014;1;"Sant Martí";"el Camp de l'Arpa del Clot";580,09;"Habitatge nou lliure";2;245
2014;1;"Sant Martí";"el Camp de l'Arpa del Clot";580,09;"Habitatge nou protegit";0;245
2014;1;"Sant Martí";"el Clot";604,85;"Habitatge nou lliure";4;135
2014;1;"Sant Martí";"el Clot";604,85;"Habitatge nou protegit";0;135
2014;1;"Sant Martí";"el Clot";604,85;"Habitatge usat";97;135
2014;1;"Sant Martí";"el Clot";9,82;"Habitatge nou lliure";4;135
2014;1;"Sant Martí";"el Clot";9,82;"Habitatge nou protegit";0;135
2014;1;"Sant Martí";"el Clot";9,82;"Habitatge usat";97;135
2014;1;"Sant Martí";"el Parc i la Llacuna del Poblenou";704,67;"Habitatge nou protegit";0;72
2014;1;"Sant Martí";"el Parc i la Llacuna del Poblenou";704,67;"Habitatge usat";16;72
2014;1;"Sant Martí";"el Parc i la Llacuna del Poblenou";704,67;"Habitatge nou lliure";2;72
2014;1;"Sant Martí";"el Parc i la Llacuna del Poblenou";11,04;"Habitatge nou protegit";0;72
2014;1;"Sant Martí";"el Parc i la Llacuna del Poblenou";11,04;"Habitatge usat";16;72
2014;1;"Sant Martí";"el Parc i la Llacuna del Poblenou";11,04;"Habitatge nou lliure";2;72
2014;1;"Sant Martí";"la Vila Olímpica del Poblenou";926,43;"Habitatge usat";7;36
2014;1;"Sant Martí";"la Vila Olímpica del Poblenou";926,43;"Habitatge nou protegit";0;36
2014;1;"Sant Martí";"la Vila Olímpica del Poblenou";926,43;"Habitatge nou lliure";2;36
2014;1;"Sant Martí";"la Vila Olímpica del Poblenou";12,37;"Habitatge usat";7;36
2014;1;"Sant Martí";"la Vila Olímpica del Poblenou";12,37;"Habitatge nou protegit";0;36
2014;1;"Sant Martí";"la Vila Olímpica del Poblenou";12,37;"Habitatge nou lliure";2;36
2014;1;"Sant Martí";"el Poblenou";11,38;"Habitatge usat";24;177
2014;1;"Sant Martí";"el Poblenou";11,38;"Habitatge nou lliure";10;177
2014;1;"Sant Martí";"el Poblenou";11,38;"Habitatge nou protegit";2;177
2014;1;"Sant Martí";"el Poblenou";663,93;"Habitatge usat";24;177
2014;1;"Sant Martí";"el Poblenou";663,93;"Habitatge nou lliure";10;177
2014;1;"Sant Martí";"el Poblenou";663,93;"Habitatge nou protegit";2;177
2014;1;"Sant Martí";"Diagonal Mar i el Front Marítim del Poblenou";866,7;"Habitatge nou protegit";0;68
2014;1;"Sant Martí";"Diagonal Mar i el Front Marítim del Poblenou";866,7;"Habitatge usat";19;68
